
> sol-analytics-backend@1.0.0 start
> tsx src/index.ts

🚀 Sol Analytics API server running on port 3001
📊 Health check: http://localhost:3001/health
🔌 API endpoints:
   - Protocols: http://localhost:3001/api/protocols
   - Data Update: http://localhost:3001/api/data-update
2025-06-19T08:32:22.751Z - GET /api/data-update/status
2025-06-19T08:32:22.855Z - GET /api/data-update/status
2025-06-19T08:32:22.956Z - GET /api/data-update/status
2025-06-19T08:32:23.051Z - GET /api/data-update/status
2025-06-19T08:32:23.150Z - GET /api/data-update/status
2025-06-19T08:32:23.247Z - GET /api/data-update/status
2025-06-19T08:32:23.341Z - GET /api/data-update/status
2025-06-19T08:32:23.449Z - GET /api/data-update/status
2025-06-19T08:32:23.552Z - GET /api/data-update/status
2025-06-19T08:32:23.648Z - GET /api/data-update/status
2025-06-19T08:32:23.746Z - GET /api/data-update/status
2025-06-19T08:32:23.836Z - GET /api/data-update/status
2025-06-19T08:32:23.941Z - GET /api/data-update/status
2025-06-19T08:32:24.029Z - GET /api/data-update/status
2025-06-19T08:32:24.127Z - GET /api/data-update/status
2025-06-19T08:32:24.235Z - GET /api/data-update/status
2025-06-19T08:32:24.356Z - GET /api/data-update/status
2025-06-19T08:32:24.459Z - GET /api/data-update/status
2025-06-19T08:32:24.557Z - GET /api/data-update/status
2025-06-19T08:32:24.647Z - GET /api/data-update/status
2025-06-19T08:32:24.740Z - GET /api/data-update/status
2025-06-19T08:32:24.846Z - GET /api/data-update/status
2025-06-19T08:32:24.950Z - GET /api/data-update/status
2025-06-19T08:32:25.051Z - GET /api/data-update/status
2025-06-19T08:32:25.162Z - GET /api/data-update/status
2025-06-19T08:32:25.257Z - GET /api/data-update/status
2025-06-19T08:32:25.354Z - POST /api/data-update/sync
Starting data sync process...
Starting data sync process using API services...
Starting complete data sync process...
--- Downloading CSV files from Dune API ---
Fetching data for trojan (ID: 4251075)...
Fetching data for photon (ID: 4852143)...
Fetching data for bullx (ID: 3823331)...
Fetching data for axiom (ID: 4663709)...
Fetching data for gmgnai (ID: 4231939)...
Fetching data for bloom (ID: 4340509)...
Fetching data for bonkbot (ID: 4278881)...
Fetching data for nova (ID: 4503165)...
Fetching data for soltradingbot (ID: 3954872)...
Fetching data for maestro (ID: 4537256)...
Fetching data for banana (ID: 4537271)...
