formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
27/02/2025,3.2479272534451704e+06,2357,269,23094
26/02/2025,3.2018832750910274e+06,2177,144,20799
25/02/2025,4.03268246379593e+06,2329,205,21273
24/02/2025,4.4503477157294545e+06,2336,156,21938
23/02/2025,4.527076746564891e+06,2354,215,21978
22/02/2025,3.8740632410467686e+06,2309,214,21804
21/02/2025,5.131771141401866e+06,2558,230,26056
20/02/2025,5.756373103270538e+06,2711,233,27288
19/02/2025,4.779265823964805e+06,2604,222,27336
18/02/2025,4.538726612867938e+06,2601,209,26193
17/02/2025,5.342916743997714e+06,2621,197,27965
16/02/2025,5.409715377826612e+06,2528,200,26843
15/02/2025,8.616952173794325e+06,2759,228,29492
14/02/2025,1.096541459567502e+07,3171,295,34276
13/02/2025,7.517124941880604e+06,3228,275,33264
12/02/2025,1.0034865004629634e+07,3502,299,46962
11/02/2025,1.603183672691522e+07,3839,331,56937
10/02/2025,2.027383570470249e+07,3883,375,58554
09/02/2025,1.640655026367296e+07,3340,231,47209
08/02/2025,8.227617430506761e+06,3010,272,34916
07/02/2025,1.1757012633463722e+07,3518,421,46956
06/02/2025,9.616486170948781e+06,3388,346,41917
05/02/2025,1.3788743015514731e+07,3575,351,47905
04/02/2025,1.1007566048512014e+07,3438,304,42336
03/02/2025,1.17959544006437e+07,3306,282,42534
02/02/2025,9.154989802963821e+06,2980,223,39129
01/02/2025,1.4875162266176695e+07,3543,294,49138
31/01/2025,2.5850798769693e+07,4178,382,68938
30/01/2025,3.854195056796534e+07,4441,437,84890
29/01/2025,2.002562062039642e+07,4151,362,63007
28/01/2025,2.2897495097130142e+07,4507,538,69217
27/01/2025,2.9237166423707683e+07,4521,442,79197
26/01/2025,2.6488068084772762e+07,4225,309,71528
25/01/2025,2.573761988646778e+07,4326,349,71146
24/01/2025,4.235315822905525e+07,4940,480,93795
23/01/2025,5.1021727914498694e+07,5265,526,104008
22/01/2025,2.4758654880987544e+07,4529,478,68739
21/01/2025,4.739886200747162e+07,4728,506,77586
20/01/2025,6.4233481655348256e+07,6005,847,95039
19/01/2025,5.561124559326664e+07,6108,923,87495
18/01/2025,4.3169641855287544e+07,5240,661,66678
17/01/2025,1.5759147875189278e+07,3717,422,47267
16/01/2025,1.5699868450710626e+07,3735,384,51408
15/01/2025,1.3486416072372178e+07,3890,477,52830
14/01/2025,1.4560237366287887e+07,3959,479,59537
13/01/2025,1.1548938323646912e+07,3651,313,47645
12/01/2025,1.3517870448806364e+07,3586,271,50994
11/01/2025,1.3515144520756962e+07,3686,411,48925
10/01/2025,1.3735588899754955e+07,3749,312,53635
09/01/2025,1.4948718284752613e+07,3815,290,56056
08/01/2025,1.6559322428563388e+07,3908,313,58420
07/01/2025,1.7259247979314964e+07,3914,342,57557
06/01/2025,1.898627038190565e+07,4047,276,59474
05/01/2025,1.7585838052791137e+07,3887,331,57333
04/01/2025,1.4409283581687244e+07,3831,344,55181
03/01/2025,1.9429802931263797e+07,4056,400,65558
02/01/2025,1.67096098097567e+07,3907,298,60170
01/01/2025,1.2112823702702535e+07,3367,259,46168
31/12/2024,1.337344943034469e+07,3274,230,44201
30/12/2024,1.2419110159913354e+07,3376,309,46835
29/12/2024,1.2317957203190181e+07,3290,248,44956
28/12/2024,1.0287924168271365e+07,3213,246,46061
27/12/2024,1.0966828274184648e+07,3241,226,51704
26/12/2024,1.2055229105751796e+07,3529,330,50929
25/12/2024,8.41653560009845e+06,3022,258,36624
24/12/2024,8.189113057926657e+06,3121,282,40716
23/12/2024,1.0105553299946228e+07,3398,275,45691
22/12/2024,1.0669454785732623e+07,3228,249,46876
21/12/2024,1.4914935028669942e+07,3325,265,51598
20/12/2024,1.637378216533137e+07,3547,245,53754
19/12/2024,1.5602751409232588e+07,3947,411,54249
18/12/2024,1.6668721970920034e+07,3948,343,51409
17/12/2024,1.4094276824646367e+07,4380,489,49007
16/12/2024,1.5375730151142001e+07,3994,329,54735
15/12/2024,1.2613259826154182e+07,3586,266,47183
14/12/2024,1.6585576058041018e+07,3683,286,50346
13/12/2024,2.1063224674736004e+07,3997,333,60001
12/12/2024,2.137426513427036e+07,4201,354,61948
11/12/2024,1.921724587533487e+07,4234,373,58966
10/12/2024,1.6823728009423118e+07,4075,346,55661
09/12/2024,1.4940816218271138e+07,4084,363,51770
08/12/2024,1.1452877164598182e+07,3515,288,38893
07/12/2024,1.3274101614728868e+07,3567,258,41304
06/12/2024,1.2259121873176528e+07,3832,374,43555
05/12/2024,1.3578789609749405e+07,4149,341,49426
04/12/2024,1.3647907287634514e+07,4330,414,47536
03/12/2024,1.5760852457822926e+07,4486,441,54134
02/12/2024,1.5931772067571035e+07,4497,429,58274
01/12/2024,1.488120986662081e+07,4232,350,53684
30/11/2024,1.5145127148296645e+07,4340,411,58217
29/11/2024,1.904820191242192e+07,4865,529,65738
28/11/2024,2.321916624092514e+07,5349,580,77328
27/11/2024,2.4955932401498932e+07,5265,547,84717
26/11/2024,2.1365949550644603e+07,5158,540,80364
25/11/2024,2.561143306450244e+07,5441,562,81151
24/11/2024,2.3130825431069635e+07,5020,453,76055
