formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
20/02/2025,1.036607776284122e+07,6348,204,66938
19/02/2025,9.394624463582968e+06,6274,194,62921
18/02/2025,9.509261837434974e+06,6606,257,64484
17/02/2025,1.0276719738609092e+07,6741,244,67255
16/02/2025,1.1321232103664273e+07,6964,230,72003
15/02/2025,1.3610407513062095e+07,7466,221,78536
14/02/2025,2.4895673811935976e+07,9144,398,99105
13/02/2025,1.6726403725055087e+07,9130,420,98573
12/02/2025,1.9232550520965867e+07,9209,462,111483
11/02/2025,2.7142451116178147e+07,10067,448,133344
10/02/2025,3.667448712224594e+07,10648,435,144959
09/02/2025,3.8576896771507405e+07,9715,395,125201
08/02/2025,1.5139872519539554e+07,7683,300,87153
07/02/2025,1.822149803534977e+07,8705,381,103685
06/02/2025,1.5856172059652247e+07,8453,360,93747
05/02/2025,2.3089741644892264e+07,9666,364,110806
04/02/2025,2.274296046925946e+07,9748,420,112300
03/02/2025,2.1128004013624806e+07,9555,404,105353
02/02/2025,1.812564285263455e+07,9471,418,105632
01/02/2025,2.868541413255014e+07,11310,525,140025
31/01/2025,4.590342982877725e+07,13796,891,188628
30/01/2025,6.781918031892712e+07,14380,787,216939
29/01/2025,3.735664204470804e+07,13054,670,163966
28/01/2025,4.072950383895265e+07,13691,725,174579
27/01/2025,6.112634433634714e+07,14756,769,208063
26/01/2025,5.997879157283247e+07,15132,875,208702
25/01/2025,6.057073335919433e+07,15294,862,215285
24/01/2025,8.78552091483662e+07,17715,1019,272421
23/01/2025,1.0376972025501731e+08,18332,1104,295265
22/01/2025,5.448049483989683e+07,15490,774,185380
21/01/2025,7.476957814062054e+07,15935,881,196900
20/01/2025,1.3558757116351068e+08,22301,1537,253581
19/01/2025,1.4014669258463696e+08,24824,2013,264552
18/01/2025,1.1707754217673567e+08,17924,1081,194521
17/01/2025,2.9784064227996312e+07,10506,454,123276
16/01/2025,2.7796786853489526e+07,10615,452,121605
15/01/2025,2.733342996929902e+07,10836,471,133794
14/01/2025,2.8012276319167648e+07,10912,495,146773
13/01/2025,2.669565078553467e+07,10345,435,125842
12/01/2025,2.9551605659705788e+07,10718,471,143411
11/01/2025,3.0215631333299447e+07,10898,485,138522
10/01/2025,3.12296653979709e+07,11537,480,144824
09/01/2025,3.61401645371895e+07,11858,567,156488
08/01/2025,3.996977658644873e+07,12530,581,161887
07/01/2025,3.894131452001489e+07,12888,657,155061
06/01/2025,4.0552350299140416e+07,13150,498,162508
05/01/2025,3.646136257714976e+07,12695,554,159627
04/01/2025,3.223412378551991e+07,11972,480,149173
03/01/2025,4.209683711404746e+07,12970,570,172948
02/01/2025,4.133610606917021e+07,12979,602,176527
01/01/2025,2.9356302719710927e+07,11073,520,148929
31/12/2024,3.046104522974264e+07,11009,462,139234
30/12/2024,2.6435221839639775e+07,10225,392,133872
29/12/2024,2.7923502876451865e+07,10422,429,135630
28/12/2024,2.319224506296935e+07,9870,371,131389
27/12/2024,2.440788395795085e+07,10115,431,142221
26/12/2024,2.800906131644514e+07,10811,522,143349
25/12/2024,2.1379793319322284e+07,9476,367,112072
24/12/2024,1.9857733464338955e+07,10124,393,119650
23/12/2024,2.3647710273295183e+07,10546,463,132920
22/12/2024,2.5634684685744554e+07,10225,408,139732
21/12/2024,2.8697836869249195e+07,10654,391,133327
20/12/2024,3.617503303367566e+07,11580,433,149855
19/12/2024,3.786806724214011e+07,12395,486,155196
18/12/2024,3.711293240124496e+07,12999,512,154352
17/12/2024,3.366705153224292e+07,13979,674,142612
16/12/2024,3.0268163537527688e+07,12236,550,145664
15/12/2024,2.754307506209421e+07,11392,509,135193
14/12/2024,3.589195174949982e+07,12111,473,147731
13/12/2024,4.407630144796668e+07,13040,504,167113
12/12/2024,4.3031488809161514e+07,13634,681,175199
11/12/2024,4.124788054462906e+07,13698,638,174443
10/12/2024,3.979873957917875e+07,13610,569,167675
09/12/2024,3.209015929491215e+07,13571,584,150229
08/12/2024,2.578135245603786e+07,12556,531,133454
07/12/2024,2.705622196438407e+07,12739,526,130554
06/12/2024,2.9930457842963018e+07,13636,647,139231
05/12/2024,2.941991689552389e+07,14028,633,142341
04/12/2024,2.7505105379977584e+07,14159,724,135001
03/12/2024,3.0553727325841177e+07,14966,724,153595
02/12/2024,3.796773085958644e+07,15435,684,166643
01/12/2024,3.416505927294076e+07,15031,702,169476
30/11/2024,3.2448332259573437e+07,15639,808,174619
29/11/2024,3.98086388451323e+07,16894,807,193418
28/11/2024,4.844537031735142e+07,18137,1022,234595
27/11/2024,5.0819593480756834e+07,18881,984,234221
26/11/2024,4.509326271316709e+07,17962,946,214843
25/11/2024,4.5923873993599065e+07,19018,1094,205594
24/11/2024,4.4170526956701964e+07,19231,1099,213790
23/11/2024,5.056352821758642e+07,20558,1265,226173
22/11/2024,6.724341955377014e+07,22925,1355,282842
21/11/2024,7.606271865936561e+07,24148,1495,274735
20/11/2024,1.0401423703974761e+08,26171,1737,382546
19/11/2024,8.465135943060876e+07,24233,1571,300623
18/11/2024,7.951847156372038e+07,25574,1807,329334
17/11/2024,8.583608018641208e+07,24190,1693,325475
16/11/2024,5.96027515348337e+07,21649,1295,253605
15/11/2024,8.04552114072819e+07,22909,1537,315318
14/11/2024,8.707809482587282e+07,23168,1757,323505
13/11/2024,6.990446171447633e+07,19270,1086,252356
12/11/2024,4.569632682274765e+07,16250,876,197827
11/11/2024,5.4602621820447795e+07,15569,717,193401
10/11/2024,3.2180496200450335e+07,12645,498,158539
09/11/2024,2.4772147977337122e+07,11313,454,131938
08/11/2024,3.3944360630082235e+07,12438,494,152388
07/11/2024,2.8193703464386974e+07,11842,436,141507
06/11/2024,3.0358251022571173e+07,13208,435,154979
05/11/2024,2.1081378076517586e+07,10943,474,128244
04/11/2024,2.313908423473441e+07,10523,446,133455
03/11/2024,2.7938338758940026e+07,10546,431,143160
02/11/2024,2.5298573152956612e+07,10228,421,133862
01/11/2024,2.1289862596720383e+07,9957,427,127279
31/10/2024,2.4536177110422943e+07,10682,466,134808
30/10/2024,2.704667758494232e+07,11252,493,146001
29/10/2024,3.249480576618501e+07,12569,575,164797
28/10/2024,2.797534287563189e+07,11566,484,150308
27/10/2024,2.8083547106043506e+07,10627,447,145006
26/10/2024,2.4876056526595622e+07,10537,449,139827
25/10/2024,3.5879258465488486e+07,11879,519,160677
24/10/2024,5.070824429859648e+07,12899,616,194541
23/10/2024,3.9938075252779044e+07,12412,609,175260
22/10/2024,3.818773944390128e+07,12333,647,177692
21/10/2024,4.246964087519785e+07,12103,597,170904
20/10/2024,3.3299225788019285e+07,11401,505,158191
19/10/2024,4.860158844580252e+07,12638,666,193168
18/10/2024,3.1144990265850477e+07,11857,501,156098
17/10/2024,3.1403143426865004e+07,11912,555,152656
16/10/2024,3.227847639861268e+07,11946,562,159728
15/10/2024,2.8208459874888357e+07,11834,545,147872
14/10/2024,3.0824442784297463e+07,12238,583,155098
13/10/2024,2.465893372250049e+07,10470,471,132160
12/10/2024,1.943753535870813e+07,10020,441,120424
11/10/2024,2.0003004694059357e+07,10005,423,121182
10/10/2024,1.7160472674251206e+07,9403,361,111925
09/10/2024,2.317643396137503e+07,10312,421,127014
08/10/2024,1.992431976138599e+07,9511,455,111868
07/10/2024,1.8542234243665945e+07,9224,407,106622
06/10/2024,1.4885270701197654e+07,8100,387,101737
05/10/2024,1.944958806990904e+07,8103,352,111677
04/10/2024,1.678505981373122e+07,8173,377,101203
03/10/2024,1.742103172984983e+07,8229,404,106455
02/10/2024,2.3791594613740455e+07,9007,422,122925
01/10/2024,1.8287734507097617e+07,8831,472,102244
30/09/2024,1.9711065379402082e+07,8777,400,112681
29/09/2024,2.219564406707414e+07,8976,509,121440
28/09/2024,2.1850761726967603e+07,8757,470,114787
27/09/2024,2.2162802820848063e+07,9227,551,117574
26/09/2024,1.8485437479554154e+07,7846,359,99006
25/09/2024,1.0392420426073438e+07,6360,295,67391
24/09/2024,8.74117291701412e+06,5862,246,61169
23/09/2024,6.629219760075115e+06,5248,204,51601
22/09/2024,6.110379897677006e+06,4686,220,47961
21/09/2024,5.736056423846387e+06,4606,166,43331
20/09/2024,6.336701530630781e+06,4951,222,43427
19/09/2024,6.526819574194057e+06,5197,208,46799
18/09/2024,5.489115713227983e+06,4546,169,41013
17/09/2024,4.946438808310905e+06,4542,207,43314
16/09/2024,4.829438467061865e+06,4419,203,37098
15/09/2024,4.857866246164768e+06,4045,165,38274
14/09/2024,4.1772799345521093e+06,4022,135,35012
13/09/2024,5.701076328331687e+06,4923,207,43686
12/09/2024,5.356333838479652e+06,4880,199,44501
11/09/2024,4.787068636033977e+06,4772,186,44546
10/09/2024,5.287683676978035e+06,5101,212,48586
09/09/2024,5.419431815427488e+06,5112,219,49764
08/09/2024,4.390887779019969e+06,4297,221,43834
07/09/2024,3.768787902729885e+06,4044,171,39143
06/09/2024,4.906016116038852e+06,4726,195,46120
05/09/2024,5.496534002506202e+06,5091,258,51838
04/09/2024,5.933227850178399e+06,5341,285,55101
03/09/2024,7.783082635051922e+06,5961,354,64184
02/09/2024,6.419475308273433e+06,5431,405,59189
01/09/2024,6.384341237362295e+06,4829,259,57895
31/08/2024,5.288048962050743e+06,4824,242,51912
30/08/2024,5.708122966787598e+06,5312,366,51847
29/08/2024,7.444949191429446e+06,5747,334,59994
28/08/2024,7.325151858387907e+06,5423,348,52911
27/08/2024,7.496757565611343e+06,5816,515,56576
26/08/2024,7.310882572232357e+06,5245,288,50954
25/08/2024,5.890732240624459e+06,4827,208,44892
24/08/2024,7.41068990995761e+06,5468,248,52219
23/08/2024,7.65048309999331e+06,5451,248,54914
22/08/2024,6.24236939635758e+06,4982,207,50235
21/08/2024,6.208532957196218e+06,5282,236,44647
20/08/2024,7.309000602782e+06,5776,197,54288
19/08/2024,8.656731073390728e+06,6576,303,71741
18/08/2024,1.205576318507281e+07,6350,262,78702
17/08/2024,9.678943220607324e+06,6319,281,74567
16/08/2024,1.080701317724863e+07,7145,311,79307
15/08/2024,1.2784987900569124e+07,7731,332,89111
14/08/2024,1.3871846674820274e+07,8164,348,94625
13/08/2024,1.491266751344181e+07,8625,385,100322
12/08/2024,1.4208942798361732e+07,8544,348,103747
11/08/2024,1.2588359892623717e+07,8261,420,90681
10/08/2024,1.530431298092242e+07,8805,432,104007
09/08/2024,1.6202302653450865e+07,9056,445,98832
08/08/2024,2.6616509113107998e+07,10174,475,121942
07/08/2024,1.922132302672881e+07,9731,504,119185
06/08/2024,1.923692662577872e+07,9467,408,124318
05/08/2024,1.6134804806613944e+07,8751,326,94153
04/08/2024,1.2588141140968598e+07,8112,348,95386
03/08/2024,1.3961381976147968e+07,8787,427,93104
02/08/2024,1.8222072389859043e+07,9772,473,115186
01/08/2024,2.0722390788894366e+07,10186,445,112788
31/07/2024,2.8304739259026624e+07,11535,508,135354
30/07/2024,3.111202163175302e+07,11934,578,136671
29/07/2024,3.0026045654166646e+07,11894,491,127001
28/07/2024,5.616886013925092e+07,11527,557,139975
27/07/2024,3.2681633225998726e+07,11825,499,123244
26/07/2024,2.507542699006268e+07,11650,548,122196
25/07/2024,2.114469662333863e+07,10974,505,108438
24/07/2024,2.3394935351617623e+07,11402,555,115291
23/07/2024,2.476378092971151e+07,11774,588,119695
22/07/2024,2.419143421136537e+07,11630,506,114812
21/07/2024,2.429087312474028e+07,11792,575,119087
20/07/2024,1.6260631033826975e+07,9448,464,92702
19/07/2024,1.7131814817302164e+07,10250,486,104031
18/07/2024,1.5596375052258598e+07,9753,491,97346
17/07/2024,1.88861297905697e+07,10459,518,112050
