formattedDay,total_volume_usd,daily_users,numberOfNewUsers,daily_trades
05/05/2025,4.3221971841756655e+06,2251,219,26948
04/05/2025,5.042036293487907e+06,2201,140,27109
03/05/2025,8.3881188117160695e+06,2569,160,27067
02/05/2025,5.997225081650473e+06,2657,249,32808
01/05/2025,9.127487088820746e+06,2742,276,38468
30/04/2025,6.278882110843085e+06,2477,174,34688
29/04/2025,5.999276201432493e+06,2548,238,30838
28/04/2025,7.289006364885917e+06,2598,268,34446
27/04/2025,4.708224909908432e+06,2215,190,27738
26/04/2025,6.722242154733121e+06,2285,190,31063
25/04/2025,8.1861396622164445e+06,2628,306,34715
24/04/2025,6.002162223370132e+06,2686,279,29429
23/04/2025,6.462092445362888e+06,4055,242,36167
22/04/2025,5.374886777950401e+06,3720,263,31438
21/04/2025,4.962679197987948e+06,3049,264,31361
20/04/2025,3.271875258238059e+06,2577,137,21046
19/04/2025,3.690049658178346e+06,2187,173,23409
18/04/2025,5.164932446942136e+06,3666,258,30365
17/04/2025,4.951206172747518e+06,2360,252,31235
16/04/2025,6.101156370299494e+06,3705,264,35362
15/04/2025,5.78451321349846e+06,2859,239,33259
14/04/2025,4.706734600802298e+06,2370,218,29766
13/04/2025,4.0157744806876285e+06,3110,189,26754
12/04/2025,4.355276406452109e+06,3165,217,29788
11/04/2025,3.822791765541257e+06,2933,180,28930
10/04/2025,3.91345391450833e+06,3300,196,30925
09/04/2025,4.887397222854696e+06,3696,266,35934
08/04/2025,4.302107430194472e+06,2251,204,32473
07/04/2025,4.543899367081859e+06,2038,170,27743
06/04/2025,3.323264537189093e+06,1882,155,22361
05/04/2025,3.3500487100524246e+06,1968,157,24482
04/04/2025,2.9483664383069333e+06,1967,173,22627
03/04/2025,3.3415351237889e+06,2025,172,23719
02/04/2025,4.024050978751766e+06,2053,159,25666
01/04/2025,4.497377269921024e+06,2111,156,29934
31/03/2025,4.749422275305893e+06,3382,153,29160
30/03/2025,3.219312769848678e+06,2180,154,22865
29/03/2025,4.365920149413761e+06,3131,203,28240
28/03/2025,5.102420626321471e+06,2724,215,33658
27/03/2025,4.486803353558346e+06,2136,184,26226
26/03/2025,4.87770164173059e+06,3474,212,28347
25/03/2025,4.618074575769455e+06,2239,186,25182
