formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,ethereumVolumeUSD,baseVolumeUSD,avalancheVolumeUSD,bscVolumeUSD,arbitrumVolumeUSD,ethereumNumberOfUsers,baseNumberOfUsers,avalancheNumberOfUsers,bscNumberOfUsers,arbitrumNumberOfUsers,numberOfReturningUsers,numberOfTrades,numberOfPairs,buyVolumeUSD,sellVolumeUSD,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
19/02/2024,638194.9342640281,134,10,561498.1895928283,75481.30966224085,691.6748753588624,523.7601336,0,69,70,2,2,0,124,528,131,285369.0500316508,352825.88423237717,1018,0,0,0,0
20/02/2024,1.4089361737709562e+06,187,41,513819.35274927696,890963.6096283197,1868.9252376898735,2284.286155669748,0,64,122,3,1,0,146,737,106,665063.5958114009,743872.577959555,1059,0,0,0,0
21/02/2024,723820.1347104481,161,21,605565.5119359626,106299.86188758428,2593.3267228731975,9361.434164027969,0,89,67,9,4,0,140,713,126,310718.6089640967,413101.5257463512,1080,0,0,0,0
22/02/2024,621754.3050107402,222,52,402727.71180005197,171301.79167877237,23176.645469291263,269.64566236464117,24278.510400260002,71,124,29,3,5,170,684,122,257910.38338919042,363843.92162154976,1132,0,0,0,0
23/02/2024,307178.18532333156,159,52,192585.30977563627,91609.02685139344,4592.021376294848,310.6139033799936,18081.213416627008,58,88,3,5,9,107,379,95,135304.14465326155,171874.04067006992,1184,0,0,0,0
24/02/2024,400852.7843134991,114,23,332662.3994583413,65777.19567932769,522.1654247343238,682.5226595088515,1208.501091587002,61,38,7,8,5,91,304,99,157686.2217751673,243166.56253833178,1207,0,0,0,0
25/02/2024,323587.8423090387,76,8,310602.363916492,5984.368131300058,6559.953531266026,17.89450598053733,423.262224,47,15,11,2,1,68,186,78,91067.74052889764,232520.10178014103,1215,0,0,0,0
26/02/2024,699331.6145607107,139,26,595208.7901272104,85493.37402317034,3332.1602297152667,12053.188221771918,3244.1019588426548,74,58,9,3,1,113,407,103,420409.2685649356,278922.345995775,1241,0,0,0,0
27/02/2024,690820.8201744861,176,49,477149.23480273085,186138.41722349837,6462.502931265399,9038.804186204066,12031.861030787479,83,86,7,4,5,127,485,125,282818.4275696021,408002.3926048842,1290,0,0,0,0
28/02/2024,1.403842647650953e+06,342,121,842618.4440487573,495767.97211110464,9064.57795477117,56391.65353632014,0,80,254,18,4,0,221,943,143,462847.3208492964,940995.3268016569,1411,0,0,0,0
29/02/2024,821553.7251046767,172,19,644262.2598985599,142355.87365175222,2402.1613296487603,32533.43022471576,0,69,93,7,5,0,153,490,127,310366.7873281222,511186.9377765544,1430,0,0,0,0
01/03/2024,463235.99871558027,112,17,341880.18833398377,118388.80937356506,1875.582284818211,1039.4308395768978,51.98788363630586,54,51,3,4,1,95,403,109,195556.36911599158,267679.62959958875,1447,0,0,0,0
02/03/2024,742009.5102200826,204,39,415929.85537397355,304604.48492677987,1519.6131045752609,19850.331546253852,105.22526850000001,81,112,4,13,2,165,797,152,309071.00220934907,432938.50801073335,1486,0,0,0,0
03/03/2024,946873.7470122041,276,76,443805.89644178044,499001.3456596661,1239.0615763204235,2827.4433344368395,0,74,197,4,4,0,200,1573,184,384022.0278204709,562851.7191917329,1562,0,0,0,0
04/03/2024,3.119162173457091e+06,612,284,1.4466572726227646e+06,1.4421611866035177e+06,218975.19143546527,11368.52279534366,0,99,494,21,12,0,328,4831,316,1.0472435192195106e+06,2.0719186542375805e+06,1846,0,0,0,0
05/03/2024,3.6483520172108407e+06,978,500,1.1307911376989158e+06,2.5059830743330335e+06,3515.20725001216,8062.59792887857,0,85,884,17,16,0,478,7264,398,1.5953997257536666e+06,2.0529522914571718e+06,2346,0,0,0,0
06/03/2024,6.288461579681065e+06,1556,827,1.0390543806213943e+06,5.243227327615172e+06,2513.8953921437655,3665.9760523577766,0,94,1463,6,12,0,729,12887,426,2.817042555537343e+06,3.471419024143723e+06,3173,0,0,0,0
07/03/2024,7.256220889279301e+06,1780,690,1.0143135001598169e+06,6.181766344231979e+06,13399.257593535838,45601.27407947128,1140.5132145,89,1669,31,25,2,1090,13247,506,3.0672089901628e+06,4.189011899116504e+06,3863,0,0,0,0
08/03/2024,4.237686087715384e+06,1487,476,1.19621307721285e+06,2.9340173268552967e+06,81024.58312686003,17732.506290545218,8698.594229832877,112,1359,28,12,8,1011,8546,400,1.723680268601102e+06,2.5140058191142813e+06,4339,0,0,0,0
09/03/2024,3.9669644950225027e+06,1250,427,1.115323153113148e+06,2.736344464924397e+06,103605.49575313165,2058.277516320772,9633.103715505113,69,1133,84,8,6,823,8162,424,1.6858225225673115e+06,2.281141972455191e+06,4766,0,0,0,0
10/03/2024,3.3154494687187546e+06,1385,403,1.0747696374968132e+06,2.123498531361354e+06,114414.83700103541,1257.0693585511278,1509.393501,90,1187,153,5,2,982,8409,510,1.2342337152655832e+06,2.0812157534531697e+06,5169,0,0,0,0
11/03/2024,5.1308679774873e+06,1836,614,1.605011665235304e+06,3.053777527577915e+06,443202.501759983,135.29529457906926,28740.987619518044,94,1545,274,2,13,1222,12497,596,2.0492544724662092e+06,3.081613505021089e+06,5783,0,0,0,0
12/03/2024,6.211139928753692e+06,2055,751,2.153711175400456e+06,3.045650119034923e+06,973679.26841183,20082.59664015358,18016.76926632655,86,1324,827,14,6,1304,14910,708,2.376109794993e+06,3.83503013376069e+06,6534,0,0,0,0
13/03/2024,3.4062244488752824e+06,1890,503,655166.5721950232,2.270642618937508e+06,450336.4978545858,30078.75988816563,0,74,1120,830,23,0,1387,10876,617,1.51702282204263e+06,1.8892016268326524e+06,7037,0,0,0,0
14/03/2024,7.458216052917471e+06,2468,736,880562.5755139032,5.357612636703388e+06,1.199662573693684e+06,20378.267006497266,0,88,1505,1119,16,0,1732,18192,673,2.734755842497373e+06,4.723460210420095e+06,7773,0,0,0,0
15/03/2024,8.762660344617613e+06,3988,1721,1.0887867734616396e+06,5.721723057801346e+06,1.8954375357054e+06,56712.977649231856,0,102,1644,2478,19,0,2267,27609,816,3.3411196842146018e+06,5.421540660403015e+06,9494,0,0,0,0
16/03/2024,7.802975129748793e+06,3383,894,892082.8534180957,6.002365879828975e+06,904695.3378526454,3831.058649081588,0,64,2043,1490,8,0,2489,28883,965,3.1249564336653394e+06,4.678018696083453e+06,10388,0,0,0,0
17/03/2024,4.390312359109085e+06,3307,734,312356.9546839714,3.3943868693284676e+06,677677.7066169477,5890.82847969704,0,59,1726,1779,8,0,2573,21289,725,1.977735914380592e+06,2.4125764447284904e+06,11122,0,0,0,0
18/03/2024,7.351574691385566e+06,3225,586,723844.3873539751,6.087963618248859e+06,532412.0661116289,7354.619671107417,0,73,2264,1248,14,0,2639,23093,737,3.0429079600009928e+06,4.308666731384576e+06,11708,0,0,0,0
19/03/2024,7.814951330421469e+06,3332,825,293433.02209366194,6.496316593813443e+06,685594.1177708299,339607.5967435351,0,49,2371,1106,95,0,2507,23648,673,3.329910768083777e+06,4.485040562337691e+06,12533,0,0,0,0
20/03/2024,3.38997862351884e+07,7474,3933,465340.59600012586,3.2960322342248198e+07,337394.5414326954,136728.75550741242,0,103,6895,798,31,0,3541,87187,1774,1.4717025432112282e+07,1.9182760803076133e+07,16466,0,0,0,0
21/03/2024,2.068492717770984e+07,6527,1962,353679.1682243572,2.0162612055070776e+07,165933.0958359453,2702.8585787689453,0,75,5996,689,16,0,4565,64080,1700,8.713000845379626e+06,1.1971926332330214e+07,18428,0,0,0,0
22/03/2024,1.5775188702652093e+07,5783,1681,478771.0955171566,1.48888971242375e+07,396312.5193033286,11207.963594106472,0,79,5229,752,42,0,4102,43405,1439,7.201014296558429e+06,8.574174406093659e+06,20109,0,0,0,0
23/03/2024,8.505755493347606e+06,4384,1000,561050.8845449698,7.89486664219875e+06,26135.339955688072,23702.626648197012,0,62,4194,192,30,0,3384,30412,1194,3.9117231361203226e+06,4.594032357227279e+06,21109,0,0,0,0
24/03/2024,1.7239547393257644e+07,6045,1491,519382.4696205494,1.5020468919740766e+07,1.6961630602152424e+06,3532.943681089172,0,96,5330,941,20,0,4554,54717,1469,7.699890723539249e+06,9.539656669718402e+06,22600,0,0,0,0
